Time,Coin,Price,24h Change,Market Cap
2025-12-08 18:12:43,"BNB
BNB
Buy",$906.42,0.08%,10.43%
2025-12-08 18:12:43,"USDC
USDC
Buy",$1.00,0.01%,0.03%
2025-12-08 18:12:43,"Solana
SOL
Buy",$137.57,0.79%,8.97%
2025-12-08 18:12:43,"TRON
TRX
Buy",$0.2856,0.20%,3.06%
2025-12-08 18:12:43,"Dogecoin
DOGE
Buy",$0.1430,0.37%,5.04%
2025-12-08 18:13:27,"CoinMarketCap 20 Index DTF
CMC20
Buy",$195.05,0.13%,7.55%
2025-12-08 18:13:27,"Bitcoin
BTC
Buy","$91,782.58",0.18%,7.28%
2025-12-08 18:13:27,"Ethereum
ETH
Buy","$3,130.27",0.46%,11.27%
2025-12-08 18:13:27,"Tether
USDT
Buy",$1.00,0.01%,0.05%
2025-12-08 18:13:27,"XRP
XRP
Buy",$2.09,0.07%,3.42%
2025-12-08 18:13:27,"BNB
BNB
Buy",$906.31,0.03%,10.58%
2025-12-08 18:13:27,"USDC
USDC
Buy",$0.9998,0.01%,0.02%
2025-12-08 18:13:27,"Solana
SOL
Buy",$137.55,0.79%,9.12%
2025-12-08 18:13:27,"TRON
TRX
Buy",$0.2857,0.23%,3.08%
2025-12-08 18:13:27,"Dogecoin
DOGE
Buy",$0.1430,0.37%,5.25%
